file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\EastAsianWidth.java,com.iiordanov.pubkeygenerator.EastAsianWidth$PreFroyo,innerclass,5,5,0,5,3,2,0,1,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,1,0,0,12,0,1,1,0,2,0,2,5,1,4,1,0,1,0,23,10,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\undatech\opaque\util\HttpsFileDownloader.java,com.undatech.opaque.util.HttpsFileDownloader,class,2,5,3,2,8,1,0,9,0,0.5625,0.6666667,1.0,4,2,4,0,0,0,4,0,0,0,4,1,1,0,0,3,0,0,7,84,0,0,0,3,0,5,0,9,0,9,2,2,1,0,32,1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\bVNC\input\RemoteCanvasHandler.java,com.iiordanov.bVNC.input.RemoteCanvasHandler$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\bVNC\input\Panner.java,com.iiordanov.bVNC.input.Panner$DefaultUpdater,innerclass,3,3,0,3,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,8,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\undatech\opaque\Connection.java,com.undatech.opaque.Connection,interface,3,33,30,3,204,1,0,0,20706,0.0,0.0,0.0,204,0,4,0,0,200,204,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\iiordanov\bVNC\input\RemoteKeyboard.java,com.iiordanov.bVNC.input.RemoteKeyboard,class,5,17,12,5,2,2,3,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1025,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\undatech\opaque\dialogs\MessageFragment.java,com.undatech.opaque.dialogs.MessageFragment$OnFragmentDismissedListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\remote-desktop-clients-master\bVNC\src\main\java\com\undatech\opaque\ConnectionSetupActivity.java,com.undatech.opaque.ConnectionSetupActivity,class,19,22,3,19,33,2,0,68,5,0.7571429,0.30555555,0.41666666,15,0,8,6,1,0,9,0,0,0,14,1,0,14,0,0,0,0,4,185,3,2,5,1,3,24,4,48,7,30,4,2,0,0,163,1,0
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\GeneratePubkeyActivity.java,com.iiordanov.pubkeygenerator.GeneratePubkeyActivity$Anonymous3,anonymous,1,1,0,1,4,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,1,0,0,0,3,1,0,3,0,0,0,24,-1,0
C:\remote-desktop-clients-master\pubkeyGenerator\src\main\java\com\iiordanov\pubkeygenerator\GeneratePubkeyActivity.java,com.iiordanov.pubkeygenerator.GeneratePubkeyActivity$Anonymous2,anonymous,1,1,0,1,4,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,3,4,3,2,1,0,0,0,17,-1,0
