file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,toString/0,false,28,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,on/0,false,12,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,false
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,tvMode/0,false,24,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,1,0,false
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,"Projector/2[java.lang.String,com.ramesh.gof.facade.hometheater.DvdPlayer]",true,7,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,off/0,false,16,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,false
C:\kanmaytacker\src\main\java\com\ramesh\gof\facade\hometheater\Projector.java,com.ramesh.gof.facade.hometheater.Projector,wideScreenMode/0,false,20,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,1,0,false
C:\kanmaytacker\factory-pattern\src\main\java\com\ramesh\gof\factory\pizzaa\NYPizzaStore.java,com.ramesh.gof.factory.pizzaa.NYPizzaStore,createPizza/1[java.lang.String],false,5,7,6,0,6,5,2,21,1,2,1,2,0,0,0,0,0,0,8,0,6,0,1,0,0,0,16,4,0,false
C:\kanmaytacker\abstract-factory\src\main\java\com\ramesh\gof\abstractfactory\ElfKing.java,com.ramesh.gof.abstractfactory.ElfKing,getDescription/0,false,35,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
C:\kanmaytacker\builder\src\main\java\com\iluwatar\builder\Profession.java,com.iluwatar.builder.Profession,toString/0,false,35,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\kanmaytacker\decorator\src\main\java\com\ramesh\gof\decorator\headfirst\Decaf.java,com.ramesh.gof.decorator.headfirst.Decaf,Decaf/0,true,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,false
C:\kanmaytacker\decorator\src\main\java\com\ramesh\gof\decorator\headfirst\Decaf.java,com.ramesh.gof.decorator.headfirst.Decaf,cost/0,false,8,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,false
C:\kanmaytacker\abstract-factory\src\main\java\com\ramesh\gof\abstractfactory\App.java,com.ramesh.gof.abstractfactory.App,setArmy/1[com.ramesh.gof.abstractfactory.Army],false,87,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
C:\kanmaytacker\abstract-factory\src\main\java\com\ramesh\gof\abstractfactory\App.java,com.ramesh.gof.abstractfactory.App,getCastle/1[com.ramesh.gof.abstractfactory.KingdomFactory],false,67,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\kanmaytacker\abstract-factory\src\main\java\com\ramesh\gof\abstractfactory\App.java,com.ramesh.gof.abstractfactory.App,main/1[java.lang.String[]],false,97,6,10,0,10,1,8,13,0,1,1,8,4,2,0,0,0,0,2,0,1,0,0,0,0,0,13,9,0,true
C:\kanmaytacker\abstract-factory\src\main\java\com\ramesh\gof\abstractfactory\App.java,com.ramesh.gof.abstractfactory.App,getArmy/1[com.ramesh.gof.abstractfactory.KingdomFactory],false,79,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\kanmaytacker\abstract-factory\src\main\java\com\ramesh\gof\abstractfactory\App.java,com.ramesh.gof.abstractfactory.App,setKing/1[com.ramesh.gof.abstractfactory.King],false,63,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
C:\kanmaytacker\abstract-factory\src\main\java\com\ramesh\gof\abstractfactory\App.java,com.ramesh.gof.abstractfactory.App,getArmy/0,false,83,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
